# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [M0] KNN: - n_neighbors: 10 - max_window_size: 100 - leaf_size: 30
# [M1] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: result_elec.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_acc_[M2],current_acc_[M2],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1],mean_kappa_[M2],current_kappa_[M2]
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1002,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1003,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1004,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1199,0.810000,0.810000,0.810000,0.810000,0.805000,0.805000,0.257232,0.257232,0.121184,0.121184,0.084077,0.084077
1399,0.765000,0.720000,0.840000,0.870000,0.830000,0.855000,0.209586,0.166294,0.404236,0.588933,0.353151,0.530592
1599,0.780000,0.810000,0.843333,0.850000,0.843333,0.870000,0.245484,0.329214,0.466071,0.557978,0.441496,0.585789
1799,0.786250,0.805000,0.833750,0.805000,0.841250,0.835000,0.433737,0.609297,0.577315,0.612557,0.584097,0.671380
1999,0.786000,0.785000,0.809000,0.710000,0.825000,0.760000,0.446857,0.489068,0.551715,0.454220,0.574751,0.527791
2199,0.770833,0.695000,0.802500,0.770000,0.812500,0.750000,0.410074,0.230575,0.535998,0.457739,0.546038,0.405399
2399,0.742143,0.570000,0.789286,0.710000,0.786429,0.630000,0.393793,0.136546,0.524603,0.452830,0.502609,0.332130
2599,0.732500,0.665000,0.786875,0.770000,0.788750,0.805000,0.376796,0.263736,0.529082,0.540000,0.521579,0.612326
2799,0.726667,0.680000,0.791667,0.830000,0.791111,0.810000,0.381910,0.359295,0.550144,0.660170,0.538763,0.619810
2999,0.737000,0.830000,0.800000,0.875000,0.803500,0.915000,0.395753,0.527450,0.564103,0.697556,0.561582,0.789134
3199,0.729545,0.655000,0.800000,0.800000,0.803636,0.805000,0.382908,0.259657,0.570480,0.608649,0.570303,0.621580
3399,0.722500,0.645000,0.807917,0.895000,0.815000,0.940000,0.383508,0.305827,0.593824,0.790000,0.604012,0.877438
3599,0.726923,0.780000,0.816923,0.925000,0.823077,0.920000,0.393551,0.525862,0.611666,0.833850,0.620384,0.823477
3799,0.733214,0.815000,0.819643,0.855000,0.823571,0.830000,0.392898,0.080060,0.609526,0.356984,0.612998,0.191439
3999,0.734667,0.755000,0.825000,0.900000,0.830333,0.925000,0.397496,0.466812,0.621682,0.789584,0.629067,0.842932
4199,0.729062,0.645000,0.824688,0.820000,0.833750,0.885000,0.380907,0.087404,0.617647,0.526004,0.633791,0.704370
4399,0.729706,0.740000,0.823235,0.800000,0.830000,0.770000,0.376855,0.269663,0.610454,0.431818,0.620871,0.298780
4599,0.729167,0.720000,0.824722,0.850000,0.830556,0.840000,0.384788,0.440615,0.618925,0.699549,0.628695,0.679005
4799,0.726316,0.675000,0.828947,0.905000,0.835000,0.915000,0.378297,0.264206,0.628468,0.797052,0.639830,0.824995
4999,0.725750,0.715000,0.826500,0.780000,0.834250,0.820000,0.370593,0.109375,0.618861,0.274406,0.633962,0.396783
5199,0.727381,0.760000,0.826190,0.820000,0.831667,0.780000,0.380899,0.516908,0.622395,0.646782,0.633038,0.571651
5399,0.727955,0.740000,0.817045,0.625000,0.824091,0.665000,0.385360,0.462088,0.601643,0.201108,0.616253,0.293100
5599,0.721957,0.590000,0.818696,0.855000,0.825652,0.860000,0.371661,0.068605,0.604098,0.661610,0.618824,0.678161
5799,0.724167,0.775000,0.816042,0.755000,0.820625,0.705000,0.381296,0.547648,0.602091,0.530741,0.612093,0.443291
5999,0.724600,0.735000,0.814600,0.780000,0.822800,0.875000,0.380774,0.366180,0.597964,0.491212,0.616541,0.724972
6199,0.724231,0.715000,0.816346,0.860000,0.826538,0.920000,0.388474,0.414183,0.604802,0.722084,0.628658,0.832723
6399,0.722778,0.685000,0.813704,0.745000,0.824259,0.765000,0.385170,0.299065,0.599367,0.460203,0.624501,0.521190
6599,0.720714,0.665000,0.814464,0.835000,0.825714,0.865000,0.377819,0.126239,0.598368,0.507463,0.625293,0.607330
6799,0.716724,0.605000,0.815517,0.845000,0.827759,0.885000,0.372346,0.208892,0.600639,0.669157,0.629820,0.757435
6999,0.713667,0.625000,0.816167,0.835000,0.829667,0.885000,0.365212,0.179611,0.602333,0.652851,0.634367,0.761312
7199,0.710323,0.610000,0.814677,0.770000,0.827742,0.770000,0.359404,0.188852,0.599109,0.511885,0.630039,0.510638
7399,0.711562,0.750000,0.810000,0.665000,0.823125,0.680000,0.369170,0.481112,0.590946,0.394542,0.621742,0.417546
7599,0.709697,0.650000,0.811818,0.870000,0.824394,0.865000,0.366518,0.279909,0.595346,0.731544,0.624758,0.720959
7799,0.710147,0.725000,0.813971,0.885000,0.825588,0.865000,0.373038,0.428393,0.603056,0.759162,0.629881,0.719393
7999,0.711857,0.770000,0.815286,0.860000,0.826714,0.865000,0.379682,0.540414,0.608168,0.717372,0.634268,0.727548
8199,0.711111,0.685000,0.817361,0.890000,0.829028,0.910000,0.381420,0.366961,0.614185,0.779272,0.640462,0.819621
8399,0.711486,0.725000,0.818784,0.870000,0.830270,0.875000,0.385141,0.451207,0.619308,0.730206,0.644948,0.740287
8599,0.713553,0.790000,0.820263,0.875000,0.830526,0.840000,0.391203,0.579158,0.623402,0.750150,0.646795,0.681909
8799,0.714744,0.760000,0.822179,0.895000,0.833333,0.940000,0.397005,0.504746,0.628714,0.789114,0.654075,0.875467
8999,0.715125,0.730000,0.823875,0.890000,0.833250,0.830000,0.399268,0.459622,0.633294,0.780373,0.654982,0.661051
9199,0.715366,0.725000,0.825854,0.905000,0.835244,0.915000,0.400507,0.448234,0.637843,0.809657,0.659492,0.829796
9399,0.714881,0.695000,0.824167,0.755000,0.832381,0.715000,0.399923,0.377678,0.635391,0.520078,0.654702,0.446924
9599,0.713488,0.655000,0.824186,0.825000,0.832093,0.820000,0.399358,0.297209,0.636804,0.630880,0.655416,0.612903
9799,0.715000,0.780000,0.823636,0.800000,0.830568,0.765000,0.402476,0.537183,0.635999,0.604704,0.652836,0.552807
9999,0.716000,0.760000,0.825556,0.910000,0.833111,0.945000,0.405755,0.524564,0.640491,0.820646,0.658566,0.889536
10199,0.718478,0.830000,0.826848,0.885000,0.833152,0.835000,0.414270,0.595238,0.644654,0.727230,0.660018,0.583333
10399,0.720000,0.790000,0.828085,0.885000,0.834043,0.875000,0.418307,0.581632,0.647745,0.769169,0.662402,0.747882
10599,0.718542,0.650000,0.828229,0.835000,0.834271,0.845000,0.415817,0.295562,0.648442,0.673203,0.663268,0.695122
10799,0.718980,0.740000,0.827959,0.815000,0.833571,0.800000,0.416734,0.467704,0.647822,0.618792,0.661847,0.595755
10999,0.718700,0.705000,0.829500,0.905000,0.835600,0.935000,0.415061,0.282064,0.650528,0.783055,0.665635,0.856004
11199,0.716471,0.605000,0.829804,0.845000,0.836765,0.895000,0.410185,0.162070,0.650908,0.671192,0.667885,0.782654
11399,0.716154,0.700000,0.829712,0.825000,0.837019,0.850000,0.408666,0.306118,0.649994,0.548736,0.667786,0.621260
11599,0.716981,0.760000,0.828208,0.750000,0.835755,0.770000,0.410877,0.518797,0.646775,0.497437,0.665024,0.537828
11799,0.718148,0.780000,0.828981,0.870000,0.835463,0.820000,0.415174,0.536501,0.649083,0.732703,0.665196,0.615508
11999,0.716364,0.620000,0.827091,0.725000,0.834091,0.760000,0.411036,0.170939,0.644955,0.407711,0.662207,0.491472
12199,0.716607,0.730000,0.827946,0.875000,0.835089,0.890000,0.411710,0.447570,0.646899,0.749097,0.664390,0.780198
12399,0.715351,0.645000,0.828158,0.840000,0.835526,0.860000,0.409138,0.267588,0.647687,0.684822,0.665517,0.723238
12599,0.718448,0.895000,0.824741,0.630000,0.829741,0.500000,0.416315,0.792038,0.641413,0.290304,0.654633,0.061121
12799,0.718220,0.705000,0.826356,0.920000,0.831356,0.925000,0.416443,0.411530,0.645012,0.840000,0.658137,0.849790
12999,0.720667,0.865000,0.827250,0.880000,0.831333,0.830000,0.423102,0.711846,0.647624,0.736177,0.658757,0.615602
13199,0.721803,0.790000,0.828443,0.900000,0.832131,0.880000,0.426003,0.583994,0.650238,0.800638,0.660526,0.761905
13399,0.722500,0.765000,0.829194,0.875000,0.831935,0.820000,0.428256,0.531032,0.652324,0.739692,0.660612,0.620373
13599,0.722857,0.745000,0.829444,0.845000,0.831587,0.810000,0.428983,0.474552,0.652908,0.689565,0.660093,0.631354
13799,0.724922,0.855000,0.831328,0.950000,0.833203,0.935000,0.434225,0.704684,0.657151,0.897383,0.663679,0.864301
13999,0.727308,0.880000,0.832462,0.905000,0.834308,0.905000,0.439455,0.759423,0.659639,0.810190,0.666081,0.810644
14199,0.726288,0.660000,0.830455,0.700000,0.832348,0.705000,0.437381,0.304419,0.655768,0.419505,0.662402,0.442028
14399,0.726567,0.745000,0.829701,0.780000,0.831866,0.800000,0.437118,0.356873,0.653826,0.463415,0.661148,0.539171
14599,0.727279,0.775000,0.829485,0.815000,0.832206,0.855000,0.439325,0.546737,0.653452,0.639095,0.661848,0.714117
14799,0.727899,0.770000,0.828841,0.785000,0.831594,0.790000,0.441010,0.540000,0.652059,0.570000,0.660459,0.580000
14999,0.727643,0.710000,0.827143,0.710000,0.829857,0.710000,0.439634,0.260204,0.647901,0.046053,0.656335,0.046053
15199,0.727183,0.695000,0.824577,0.645000,0.827324,0.650000,0.439112,0.401843,0.642575,0.327524,0.651013,0.336430
15399,0.727847,0.775000,0.825139,0.865000,0.827708,0.855000,0.439671,0.434673,0.643277,0.660804,0.651422,0.635678
15599,0.728288,0.760000,0.823151,0.680000,0.825685,0.680000,0.440103,0.455288,0.638722,0.210656,0.646839,0.210656
15799,0.726622,0.605000,0.819662,0.565000,0.822162,0.565000,0.436396,0.152724,0.631091,0.000000,0.639176,0.000000
15999,0.726067,0.685000,0.817333,0.645000,0.819867,0.650000,0.435259,0.351452,0.625923,0.202964,0.634097,0.215335
16199,0.725789,0.705000,0.817763,0.850000,0.820197,0.845000,0.434179,0.326484,0.626386,0.635613,0.634393,0.624879
16399,0.724805,0.650000,0.817013,0.760000,0.819545,0.770000,0.431977,0.258475,0.624709,0.491525,0.632912,0.514153
16599,0.723141,0.595000,0.815192,0.675000,0.817756,0.680000,0.428715,0.183632,0.620809,0.337276,0.629038,0.347272
16799,0.723418,0.745000,0.815000,0.800000,0.817532,0.800000,0.428305,0.297907,0.619628,0.307479,0.627891,0.307479
16999,0.724125,0.780000,0.814625,0.785000,0.817125,0.785000,0.428952,0.442191,0.618108,0.303305,0.626392,0.303305
17199,0.723889,0.705000,0.813642,0.735000,0.816111,0.735000,0.427828,0.295270,0.615382,0.205397,0.623674,0.205397
17399,0.724451,0.770000,0.813659,0.815000,0.816098,0.815000,0.428085,0.370639,0.614909,0.526612,0.623191,0.526612
17599,0.725120,0.780000,0.812771,0.740000,0.815422,0.760000,0.430254,0.555735,0.613348,0.488189,0.621860,0.534161
17799,0.726190,0.815000,0.813929,0.910000,0.816726,0.925000,0.432988,0.630074,0.616142,0.819495,0.624830,0.849669
17999,0.726765,0.775000,0.814882,0.895000,0.817647,0.895000,0.434197,0.539501,0.618041,0.779966,0.626619,0.779087
18199,0.727442,0.785000,0.814012,0.740000,0.816802,0.745000,0.435343,0.531590,0.615876,0.392523,0.624521,0.405594
18399,0.728046,0.780000,0.814540,0.860000,0.816724,0.810000,0.436085,0.486701,0.616532,0.651221,0.623873,0.496822
18599,0.728807,0.795000,0.815682,0.915000,0.817557,0.890000,0.436830,0.451138,0.618297,0.760631,0.625016,0.679860
18799,0.730506,0.880000,0.817247,0.955000,0.818371,0.890000,0.440071,0.737963,0.621292,0.898854,0.626371,0.741814
18999,0.732000,0.865000,0.818278,0.910000,0.819278,0.900000,0.443328,0.728151,0.623394,0.812010,0.628133,0.788113
19199,0.732802,0.805000,0.816538,0.660000,0.814670,0.400000,0.445969,0.604462,0.620203,0.375918,0.618597,0.045802
19399,0.733478,0.795000,0.816467,0.810000,0.814837,0.830000,0.447377,0.579055,0.620074,0.612245,0.618690,0.618834
19599,0.733441,0.730000,0.816022,0.775000,0.813763,0.715000,0.447674,0.462098,0.619433,0.550809,0.616442,0.439087
19799,0.733989,0.785000,0.815106,0.730000,0.812394,0.685000,0.449048,0.567143,0.617576,0.449429,0.613421,0.342792
19999,0.734947,0.825000,0.814842,0.790000,0.812105,0.785000,0.451596,0.648524,0.617307,0.580629,0.612879,0.575099
